cell,group,seed,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,DA_ind%,Prec_ind,Rec_ind,F1_ind,ModalDisagreement,TemporalLag,CompositeScore,degenerate,DA%_gated,Sharpe_gated,IC_gated,gate_coverage,gate_tau,gate_conviction,train_time_sec
13,3 — Gate sweep,1,0.034519526350127096,0.04944459978031666,48.739495798319325,0.10458262525971593,0.07436808234475759,0.5426453265395573,0.4875621448863636,0.513096597887497,422,53.78,-5.04,48.701113955226255,0.5434233541784088,0.48733237443459815,0.5133052198926531,0.572936660268714,1.0,0.7514122517753916,False,57.548845470692726,0.33822425510126053,0.2190867874131719,0.2899716177861873,0.02369710011407733,True,64.86
13,3 — Gate sweep,42,0.0335102134106517,0.0476988616110681,46.7436974789916,0.24290806611013532,0.10696736543879778,0.5356448501776697,0.47883522727272726,0.48507995965015654,422,53.78,-7.04,46.704930021097326,0.5335451508021718,0.47762653479342776,0.48374212940317546,0.612565445026178,1.0,0.7436099007914818,False,53.3532041728763,0.5254237261718373,0.15058199804302322,0.3533585619678335,0.016713015269488096,True,80.16
13,3 — Gate sweep,123,0.032529544337049146,0.047075055701290835,50.6827731092437,0.736186482024488,0.12232922893379594,0.5643868993481309,0.49747869318181814,0.522430483958278,422,53.78,-3.1,50.52932014066408,0.5652440900399255,0.4966566691499315,0.5218616642202344,0.47988505747126436,1.0,0.7166954892402346,False,61.60558464223386,0.32588351920143055,0.09025027422641702,0.2989593188268685,0.01726860273629427,True,71.3
14,4 — Output formulation,1,0.03613866005161895,0.050997837223159655,43.96008403361344,-0.40697285875344785,0.019268922160332047,0.4925787615616186,0.44616477272727273,0.45962380653882395,422,53.78,-9.82,44.23490591067124,0.49348813492894533,0.4484282692128893,0.4615813407926129,0.6649114408808042,1.0,0.7906387817273149,False,52.193645990922846,-0.11167038818895621,0.07075025204802109,0.34295175023651847,0.020574842114001513,True,59.63
14,4 — Output formulation,42,0.03438219697106191,0.04852621449020394,48.634453781512605,0.29394568693831286,0.057489495576864245,0.5344856689974131,0.4822709517045455,0.5068711427382525,422,53.78,-5.15,48.43362922573237,0.5339837466270706,0.4805568127162802,0.5055881640406625,0.4990494296577947,1.0,0.7434881009782455,False,54.32900432900433,0.359830618333608,0.11352523821267706,0.24077578051087986,0.021476205438375473,True,73.13
14,4 — Output formulation,123,0.03740208087137195,0.05222493463899312,41.439075630252105,-0.6559916428869715,-0.00725489024079676,0.4726223285763713,0.42943892045454546,0.4175735789385347,422,53.78,-12.34,41.616425613668156,0.4728881781923996,0.4301634797617311,0.41846125911741544,0.7051526717557252,0.8,0.8028891895222637,False,48.36272040302267,-0.4580492970599509,0.06999743417262738,0.42147587511825924,0.019937111996114254,True,72.66
15,4 — Output formulation,1,0.037122586862282654,0.05201584094636801,45.535714285714285,-0.5020826734640503,0.006493454424041057,0.5105952842119654,0.46440873579545455,0.4713259789827169,422,53.78,-8.24,45.40380360910238,0.5088271438018128,0.46238037688140743,0.4700688134022723,0.6638054363376252,0.8,0.7834908518726371,False,51.85185185185185,-0.06664495752832991,0.12520742541641514,0.32450331125827814,0.023971680086106062,True,65.14
15,4 — Output formulation,42,0.03557037667286119,0.050575263895918,42.594537815126046,-0.573721522128464,-0.01880076905136108,0.4940826578728388,0.4456143465909091,0.41365838855279535,422,53.78,-11.19,42.65411039761413,0.49464154951918154,0.4447326656321985,0.4140902908386897,0.6679316888045541,1.0,0.7967771120272871,False,48.23008849557522,-0.27013851831494395,0.061475928811034725,0.35383159886471144,0.01655746903270483,True,58.2
15,4 — Output formulation,123,0.036863816497933556,0.05156346349377365,44.747899159663866,-0.3206456056951247,0.016014563956989893,0.5165700848240531,0.46235795454545453,0.4556668921363515,422,53.78,-9.03,44.97602364222929,0.5152496270851932,0.4635795541927886,0.45653976691294246,0.6944444444444444,0.8,0.7840431157299383,False,50.076569678407346,-0.33334138549111864,0.0045901435967051546,0.3415326395458846,0.022351474035531282,True,72.08
16,4 — Output formulation,1,0.036197929933392,0.051036969258426275,45.483193277310924,-0.16035620657075506,0.04717846745916901,0.5110920956933549,0.45888671875,0.47919080282216786,422,53.78,-8.3,45.44497440865947,0.5113815968383513,0.4580000569423072,0.47909796292243073,0.6068007662835249,1.0,0.7813643020262665,False,57.537154989384284,0.08159151610692546,0.09300408361954836,0.2445600756859035,0.029855345841497183,True,78.46
16,4 — Output formulation,42,0.0357047628234255,0.05008825397660614,48.00420168067227,0.2899622108953903,-0.03836681116716338,0.5159973045822103,0.4587535511363636,0.4429232990076971,422,53.78,-5.78,48.04217930798008,0.5192869071953918,0.4605790434993784,0.443840202405107,0.22716288061865636,1.0,0.7606600144245154,False,49.07834101382488,-0.23901092672558938,-0.08476106296931749,0.2294228949858089,0.02722218306735158,True,57.91
16,4 — Output formulation,123,0.0407723085571025,0.05556725737383019,41.596638655462186,-0.6530786035906223,-0.06495407787613768,0.4697195699886766,0.4187588778409091,0.43961814857337245,422,53.78,-12.18,41.552861132375526,0.46982286600333556,0.41824575061156455,0.4393991412560929,0.5867371456030754,1.0,0.84547041409806,False,44.857142857142854,-0.6380283905690828,-0.11085049653348535,0.36565752128666035,0.02628606790676713,True,73.85
17,4 — Output formulation,1,0.03730466881052526,0.05171776137915359,41.806722689075634,-0.7294935846445599,-0.01667253063179329,0.4798711969561452,0.43413529829545455,0.41914276410650164,422,53.78,-11.97,42.29462011127364,0.48087566309288404,0.43802671525151926,0.4224721395898802,0.7558416785884597,1.0,0.8156249576874908,False,45.44431946006749,-0.342490637690905,0.11589728724651685,0.45931882686849573,0.018313721753656864,True,262.9
17,4 — Output formulation,42,0.036719402579956255,0.05240594938027581,42.752100840336134,-0.5389781231960322,-0.025485535231782423,0.4898472925568607,0.44108664772727274,0.4387202011792092,422,53.78,-11.03,42.719220139069265,0.48859640648806746,0.43982569615230094,0.4376429868283262,0.6503096712720343,0.8,0.7945703932565886,False,46.62857142857143,-0.6768419214331335,-0.06427156533053939,0.45931882686849573,0.014758879784494638,True,253.1
17,4 — Output formulation,123,0.03608351750045915,0.049902910694683535,46.42857142857143,0.0066836527972258366,0.05545735664977132,0.5204066757464816,0.4699928977272727,0.48697365391272257,422,53.78,-7.35,46.444875529142124,0.5197421292529432,0.46973850782306814,0.4868255073119435,0.6380133715377269,0.8,0.758289883148883,False,51.618398637137986,0.2807625182914485,0.09451669084431241,0.3079470198675497,0.021836758125573397,True,262.37
18,5 — Learned gate,1,0.03439029608054606,0.04808346752797326,45.85084033613445,0.01962880343222352,0.01774920568181925,0.5091951962717333,0.4565518465909091,0.48142796975196395,422,53.78,-7.93,45.811944303947435,0.5081526120832641,0.4562272349569265,0.4806130477669729,0.5706781279847183,1.0,0.7547392991278729,False,52.054794520547944,0.27693502806105086,0.04446083344035203,0.26348155156102177,0.01876082457602024,True,77.22
18,5 — Learned gate,42,0.032261263309826815,0.04669180115861887,42.069327731092436,-0.6924814306969139,-0.030087433588035714,0.47313100437323574,0.4305841619318182,0.4359041926687188,422,53.78,-11.71,42.333590420078465,0.47661084943694093,0.4325941606906108,0.4385846673140456,0.5143540669856459,1.0,0.749991144941175,False,50.86848635235732,0.25864754592694694,0.04578797878652482,0.21286660359508042,0.011369141284376383,True,58.38
18,5 — Learned gate,123,0.033100841180841827,0.04745674483440861,44.48529411764706,-0.32791351061242746,-0.01061213075774607,0.49130760065393886,0.4412997159090909,0.4647576684273932,422,53.78,-9.29,44.076083300297555,0.4900129975305748,0.43735493562181055,0.4618132172300382,0.5664435946462715,1.0,0.7516639049249544,False,53.04054054054054,0.11516906237304134,0.08277894399423417,0.30842005676442763,0.015019682701677084,True,71.73
18p,5 — Learned gate,1,0.03178462526922067,0.04579547718154971,46.53361344537815,0.24790209060492457,-0.008092486088204376,0.4954641105834202,0.44691938920454544,0.44087045652397755,422,53.78,-7.25,46.53031258686133,0.496027186465999,0.44804218575225263,0.44091365542343725,0.31333973128598847,1.0,0.7232769098373252,False,50.48780487804878,0.13034108572617814,-0.06438123788281201,0.21475875118259224,0.01141363033093512,True,70.5
18p,5 — Learned gate,42,0.03416777200812816,0.04843887745087794,46.11344537815126,0.22307460290186193,-0.0275377279379084,0.49970474967907574,0.44636896306818186,0.45458144111166043,422,53.78,-7.67,45.89383642274866,0.49684466841586905,0.4452658857792454,0.4529603865790105,0.30526315789473685,1.0,0.7488493416642357,False,48.04469273743017,0.1272064311396473,0.02762046872440652,0.19157994323557237,0.022847536019980907,True,78.78
18p,5 — Learned gate,123,0.03152080377090964,0.0455751993051418,45.640756302521005,0.12349582212470227,-0.061083790611622016,0.485982613317721,0.43837890625,0.4331164999438013,422,53.78,-8.14,45.537321014403595,0.48495351879035253,0.438603354990167,0.43236036989187354,0.35372848948374763,1.0,0.7285569132977222,False,50.110864745011085,0.18380004028662728,0.12025543278623285,0.23746452223273415,0.009855662006884813,True,66.18
